,ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,episode_name,episode_show_name,reason_start,reason_end
2433,2021-11-01T18:45:41Z,178146,good 4 u,Olivia Rodrigo,SOUR,,,trackdone,trackdone
2434,2021-11-01T18:55:55Z,202826,enough for you,Olivia Rodrigo,SOUR,,,trackdone,trackdone
2435,2021-11-01T18:59:21Z,175933,happier,Olivia Rodrigo,SOUR,,,trackdone,trackdone
2436,2021-11-01T19:02:14Z,173160,"jealousy, jealousy",Olivia Rodrigo,SOUR,,,trackdone,trackdone
2437,2021-11-01T20:39:44Z,85995,favorite crime,Olivia Rodrigo,SOUR,,,trackdone,logout
2438,2021-11-01T21:56:43Z,152666,favorite crime,Olivia Rodrigo,SOUR,,,appload,trackdone
2439,2021-11-01T22:00:12Z,209560,hope ur ok,Olivia Rodrigo,SOUR,,,trackdone,trackdone
2440,2021-11-01T22:13:33Z,268426,Never Be Alone,Shawn Mendes,Handwritten,,,trackdone,trackdone
2441,2021-11-01T22:17:41Z,246880,Can I Be Him,James Arthur,Back from the Edge,,,trackdone,trackdone
2442,2021-11-01T22:21:08Z,207520,Happier,Ed Sheeran,÷,,,trackdone,trackdone
2443,2021-11-01T22:25:38Z,237933,You & I,One Direction,Midnight Memories (Deluxe),,,trackdone,trackdone
2444,2021-11-01T22:28:59Z,201000,Too Good At Goodbyes,Sam Smith,The Thrill Of It All,,,trackdone,trackdone
2445,2021-11-01T22:31:55Z,175466,hate u love u,Olivia O'Brien,hate u love u,,,trackdone,trackdone
2446,2021-11-01T22:35:27Z,211240,Say You Won't Let Go,James Arthur,Say You Won't Let Go,,,trackdone,trackdone
2447,2021-11-01T22:39:22Z,204326,You Are The Reason,Calum Scott,Only Human,,,trackdone,trackdone
2448,2021-11-01T23:04:39Z,93441,Running Low,Shawn Mendes,Handwritten (Revisited),,,trackdone,logout
2449,2021-11-01T23:31:19Z,274586,Running Low,Shawn Mendes,Handwritten (Revisited),,,appload,trackdone
2450,2021-11-01T23:35:39Z,258986,Photograph,Ed Sheeran,x,,,trackdone,trackdone
2451,2021-11-01T23:40:01Z,230480,Homesick,Dua Lipa,Dua Lipa,,,trackdone,trackdone
2452,2021-11-01T23:43:03Z,182160,Someone You Loved,Lewis Capaldi,Breach,,,trackdone,trackdone
2453,2021-11-01T23:46:58Z,234106,Naked,James Arthur,Naked,,,trackdone,trackdone
2454,2021-11-01T23:50:48Z,230320,If I Could Fly,One Direction,Made In The A.M.,,,trackdone,trackdone
2455,2021-11-01T23:54:50Z,210160,Purpose,Justin Bieber,Purpose,,,trackdone,trackdone
2456,2021-11-01T23:58:01Z,191307,Stone Cold,Demi Lovato,Confident,,,trackdone,trackdone
2457,2021-11-02T00:01:43Z,221200,Mercy - Acoustic Guitar,Shawn Mendes,Mercy,,,trackdone,trackdone
2458,2021-11-02T16:44:07Z,6285,When You Love Someone,James TW,Chapters,,,trackdone,logout
2459,2021-11-02T18:13:16Z,210532,When You Love Someone,James TW,Chapters,,,appload,trackdone
2460,2021-11-02T18:16:48Z,180640,I Can't Fall in Love Without You,Zara Larsson,So Good,,,trackdone,trackdone
2461,2021-11-02T18:19:57Z,188546,Half a Heart,One Direction,Midnight Memories (Deluxe),,,trackdone,trackdone
2462,2021-11-02T18:24:29Z,271800,All I Ask,Adele,25,,,trackdone,trackdone
2463,2021-11-02T18:28:18Z,229029,The Story Never Ends,Lauv,I met you when I was 18.,,,trackdone,trackdone
2464,2021-11-02T18:32:18Z,178466,Consequences,Camila Cabello,Camila,,,trackdone,trackdone
2465,2021-11-02T18:37:06Z,286928,Malibu Nights,LANY,Malibu Nights,,,trackdone,trackdone
2466,2021-11-02T18:40:51Z,225053,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Title,,,trackdone,trackdone
2467,2021-11-02T18:44:48Z,205686,Hold Me While You Wait,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,,,trackdone,trackdone
2468,2021-11-02T18:47:56Z,187026,A Little Too Much,Shawn Mendes,Handwritten,,,trackdone,trackdone
2469,2021-11-02T18:51:22Z,205463,Love Someone,Lukas Graham,Love Someone,,,trackdone,trackdone
2470,2021-11-02T18:54:39Z,196933,Love You Goodbye,One Direction,Made In The A.M.,,,trackdone,trackdone
2471,2021-11-02T18:59:30Z,290900,When We Were Young,Adele,25,,,trackdone,trackdone
2472,2021-11-02T19:03:51Z,229640,I Love You,Alex & Sierra,It's About Us,,,trackdone,trackdone
2473,2021-11-02T19:15:25Z,142436,Something's Gotta Give,Camila Cabello,Camila,,,trackdone,logout
2474,2021-11-02T19:19:38Z,231770,Something's Gotta Give,Camila Cabello,Camila,,,appload,fwdbtn
2475,2021-11-02T19:30:50Z,189486,Memories,Maroon 5,JORDI,,,fwdbtn,trackdone
2476,2021-11-02T19:42:24Z,220540,Sorry,Halsey,hopeless fountain kingdom,,,trackdone,trackdone
2477,2021-11-02T19:54:15Z,247106,Over And Over Again,Nathan Sykes,Unfinished Business,,,trackdone,trackdone
2478,2021-11-02T21:15:04Z,112389,Out Of Love,Alessia Cara,The Pains Of Growing,,,trackdone,logout
2479,2021-11-03T17:42:33Z,106430,Out Of Love,Alessia Cara,The Pains Of Growing,,,appload,logout
2480,2021-11-03T19:19:53Z,245290,Dancing On My Own,Calum Scott,Only Human,,,fwdbtn,logout
2481,2021-11-03T19:26:31Z,205463,Love Someone,Lukas Graham,Love Someone,,,fwdbtn,trackdone
2482,2021-11-03T19:44:53Z,60356,Little Do You Know,Alex & Sierra,It's About Us,,,trackdone,logout
2483,2021-11-03T19:44:57Z,120,Over And Over Again,Nathan Sykes,Unfinished Business,,,fwdbtn,fwdbtn
2484,2021-11-03T19:44:58Z,10,Sober,Demi Lovato,Sober,,,fwdbtn,fwdbtn
2485,2021-11-03T19:44:59Z,350,The Climb,Miley Cyrus,The Time Of Our Lives,,,fwdbtn,fwdbtn
2486,2021-11-03T19:45:00Z,0,Jealous,Labrinth,Jealous - EP,,,fwdbtn,fwdbtn
2487,2021-11-03T19:48:28Z,207130,Why Don't You Love Me (feat. Demi Lovato),Hot Chelle Rae,Whatever,,,fwdbtn,fwdbtn
2488,2021-11-03T20:22:29Z,1450,The Fault in Our Stars,Troye Sivan,The Fault in Our Stars,,,fwdbtn,logout
2489,2021-11-06T21:19:55Z,211831,Geleira do tempo,ANAVITÓRIA,Geleira do tempo,,,playbtn,trackdone
2490,2021-11-06T21:23:07Z,191142,Aguei,ANAVITÓRIA,Aguei,,,trackdone,trackdone
